Date,Description,Amount
2024-01-02,SALARY DEPOSIT,5000.00
2024-01-03,WHOLE FOODS MARKET,-67.43
2024-01-05,NETFLIX,-15.99
2024-01-06,UBER,-12.50
2024-01-08,STARBUCKS,-6.75
2024-01-10,AMAZON PRIME,-14.99
2024-01-12,SHELL GAS STATION,-48.20
2024-01-14,CVS PHARMACY,-23.10
2024-01-15,RENT PAYMENT,-1800.00
2024-01-17,CHIPOTLE,-13.45
2024-01-19,SPOTIFY,-9.99
2024-01-20,PG&E UTILITY,-95.00
2024-01-22,TARGET,-112.30
2024-01-23,LYFT,-18.75
2024-01-25,TRADER JOES,-54.20
2024-01-27,NETFLIX,-15.99
2024-01-28,PLANET FITNESS,-24.99
2024-01-30,ATM WITHDRAWAL,-100.00
2024-02-01,SALARY DEPOSIT,5000.00
2024-02-02,WHOLE FOODS MARKET,-71.10
2024-02-04,NETFLIX,-15.99
2024-02-05,UBER EATS,-34.50
2024-02-07,STARBUCKS,-7.20
2024-02-09,AMAZON,-156.78
2024-02-10,SHELL GAS STATION,-51.00
2024-02-12,DOCTOR VISIT COPAY,-40.00
2024-02-14,VALENTINES DINNER,-220.00
2024-02-15,RENT PAYMENT,-1800.00
2024-02-17,MCDONALDS,-9.80
2024-02-19,SPOTIFY,-9.99
2024-02-20,PG&E UTILITY,-88.50
2024-02-22,COSTCO,-187.45
2024-02-24,LYFT,-22.00
2024-02-26,TRADER JOES,-61.30
2024-02-28,NETFLIX,-15.99
